row_index,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,TotalIncome,LoanAmount_log,naive_bayes_pred,decision_tree_pred,logistic_pred,random_forest_pred,Actual_bin
0,1,0,0,1,0,5849,0.0,128.0,360.0,1.0,2,1,5849.0,4.852030263919617,1,1,1,1,1
1,1,1,1,1,0,4583,1508.0,128.0,360.0,1.0,0,0,6091.0,4.852030263919617,1,1,1,0,0
2,1,1,0,1,1,3000,0.0,66.0,360.0,1.0,2,1,3000.0,4.189654742026425,1,1,1,1,1
3,1,1,0,0,0,2583,2358.0,120.0,360.0,1.0,2,1,4941.0,4.787491742782046,1,1,1,1,1
4,1,0,0,1,0,6000,0.0,141.0,360.0,1.0,2,1,6000.0,4.948759890378168,1,1,1,1,1
5,1,1,2,1,1,5417,4196.0,267.0,360.0,1.0,2,1,9613.0,5.58724865840025,1,1,1,1,1
6,1,1,0,0,0,2333,1516.0,95.0,360.0,1.0,2,1,3849.0,4.553876891600541,1,1,1,1,1
7,1,1,3+,1,0,3036,2504.0,158.0,360.0,0.0,1,0,5540.0,5.062595033026967,0,0,0,0,0
8,1,1,2,1,0,4006,1526.0,168.0,360.0,1.0,2,1,5532.0,5.123963979403259,1,1,1,1,1
9,1,1,1,1,0,12841,10968.0,349.0,360.0,1.0,1,0,23809.0,5.855071922202427,0,1,1,0,0
10,1,1,2,1,0,3200,700.0,70.0,360.0,1.0,2,1,3900.0,4.248495242049359,1,1,1,1,1
11,1,1,2,1,0,2500,1840.0,109.0,360.0,1.0,2,1,4340.0,4.691347882229144,1,1,1,1,1
12,1,1,2,1,0,3073,8106.0,200.0,360.0,1.0,2,1,11179.0,5.298317366548036,0,1,1,1,1
13,1,0,0,1,0,1853,2840.0,114.0,360.0,1.0,0,0,4693.0,4.736198448394496,1,1,1,0,0
14,1,1,2,1,0,1299,1086.0,17.0,120.0,1.0,2,1,2385.0,2.833213344056216,1,1,1,1,1
15,1,0,0,1,0,4950,0.0,125.0,360.0,1.0,2,1,4950.0,4.8283137373023015,1,1,1,1,1
16,1,0,1,0,0,3596,0.0,100.0,240.0,1.0,2,1,3596.0,4.605170185988092,1,0,1,1,1
17,0,0,0,1,0,3510,0.0,76.0,360.0,0.0,2,0,3510.0,4.330733340286331,0,0,0,0,0
18,1,1,0,0,0,4887,0.0,133.0,360.0,1.0,0,0,4887.0,4.890349128221754,1,1,1,0,0
19,1,1,0,1,0,2600,3500.0,115.0,360.0,1.0,2,1,6100.0,4.74493212836325,1,1,1,1,1
20,1,1,0,0,0,7660,0.0,104.0,360.0,0.0,2,0,7660.0,4.6443908991413725,0,0,0,0,0
21,1,1,1,1,0,5955,5625.0,315.0,360.0,1.0,2,1,11580.0,5.752572638825633,1,1,1,1,1
22,1,1,0,0,0,2600,1911.0,116.0,360.0,0.0,1,0,4511.0,4.7535901911063645,0,0,0,0,0
23,1,1,2,0,0,3365,1917.0,112.0,360.0,0.0,0,0,5282.0,4.718498871295094,0,0,0,0,0
24,1,1,1,1,0,3717,2925.0,151.0,360.0,1.0,1,0,6642.0,5.017279836814924,1,1,1,0,0
25,1,1,0,1,1,9560,0.0,191.0,360.0,1.0,1,1,9560.0,5.25227342804663,1,1,1,1,1
26,1,1,0,1,0,2799,2253.0,122.0,360.0,1.0,1,1,5052.0,4.804021044733257,1,1,1,1,1
27,1,1,2,0,0,4226,1040.0,110.0,360.0,1.0,2,1,5266.0,4.700480365792417,1,1,1,1,1
28,1,0,0,0,0,1442,0.0,35.0,360.0,1.0,2,0,1442.0,3.555348061489413,1,0,1,0,0
29,0,0,2,1,0,3750,2083.0,120.0,360.0,1.0,1,1,5833.0,4.787491742782046,1,1,1,1,1
30,1,1,1,1,0,4166,3369.0,201.0,360.0,1.0,2,0,7535.0,5.303304908059076,1,1,1,0,0
31,1,0,0,1,0,3167,0.0,74.0,360.0,1.0,2,0,3167.0,4.30406509320417,1,1,1,0,0
32,1,0,1,1,1,4692,0.0,106.0,360.0,1.0,0,0,4692.0,4.663439094112067,1,1,1,0,0
33,1,1,0,1,0,3500,1667.0,114.0,360.0,1.0,1,1,5167.0,4.736198448394496,1,1,1,1,1
34,1,0,3+,1,0,12500,3000.0,320.0,360.0,1.0,0,0,15500.0,5.768320995793772,1,1,1,1,0
35,1,1,0,1,0,2275,2067.0,128.0,360.0,1.0,2,1,4342.0,4.852030263919617,1,1,1,1,1
36,1,1,0,1,0,1828,1330.0,100.0,360.0,0.0,2,0,3158.0,4.605170185988092,0,0,0,0,0
37,0,1,0,1,0,3667,1459.0,144.0,360.0,1.0,1,1,5126.0,4.969813299576001,1,1,1,1,1
38,1,0,0,1,0,4166,7210.0,184.0,360.0,1.0,2,1,11376.0,5.214935757608986,0,1,1,1,1
39,1,0,0,0,0,3748,1668.0,110.0,360.0,1.0,1,1,5416.0,4.700480365792417,1,1,1,1,1
40,1,0,0,1,0,3600,0.0,80.0,360.0,1.0,2,0,3600.0,4.382026634673881,1,0,1,0,0
41,1,0,0,1,0,1800,1213.0,47.0,360.0,1.0,2,1,3013.0,3.8501476017100575,1,1,1,1,1
42,1,1,0,1,0,2400,0.0,75.0,360.0,1.0,2,1,2400.0,4.31748811353631,1,1,1,1,1
43,1,1,0,1,0,3941,2336.0,134.0,360.0,1.0,1,1,6277.0,4.897839799950911,1,1,1,1,1
44,1,1,0,0,1,4695,0.0,96.0,360.0,1.0,2,1,4695.0,4.564348191467836,1,1,1,1,1
45,0,0,0,1,0,3410,0.0,88.0,360.0,1.0,2,1,3410.0,4.477336814478207,1,0,1,1,1
46,1,1,1,1,0,5649,0.0,44.0,360.0,1.0,2,1,5649.0,3.784189633918261,1,1,1,1,1
47,1,1,0,1,0,5821,0.0,144.0,360.0,1.0,2,1,5821.0,4.969813299576001,1,1,1,1,1
48,0,1,0,1,0,2645,3440.0,120.0,360.0,0.0,2,0,6085.0,4.787491742782046,0,0,0,0,0
49,0,0,0,1,0,4000,2275.0,144.0,360.0,1.0,1,1,6275.0,4.969813299576001,1,1,1,1,1
50,0,1,0,0,0,1928,1644.0,100.0,360.0,1.0,1,1,3572.0,4.605170185988092,1,1,1,1,1
51,0,0,0,1,0,3086,0.0,120.0,360.0,1.0,1,1,3086.0,4.787491742782046,1,1,1,1,1
52,0,0,0,1,0,4230,0.0,112.0,360.0,1.0,1,0,4230.0,4.718498871295094,1,1,1,0,0
53,1,1,2,1,0,4616,0.0,134.0,360.0,1.0,2,0,4616.0,4.897839799950911,1,1,1,0,0
54,0,1,1,1,1,11500,0.0,286.0,360.0,0.0,2,0,11500.0,5.655991810819852,0,0,0,0,0
55,1,1,2,1,0,2708,1167.0,97.0,360.0,1.0,1,1,3875.0,4.574710978503383,1,1,1,1,1
56,1,1,0,1,0,2132,1591.0,96.0,360.0,1.0,1,1,3723.0,4.564348191467836,1,1,1,1,1
57,1,1,0,1,0,3366,2200.0,135.0,360.0,1.0,0,0,5566.0,4.90527477843843,1,1,1,1,0
58,1,1,1,1,0,8080,2250.0,180.0,360.0,1.0,2,1,10330.0,5.19295685089021,1,1,1,1,1
59,1,1,2,0,0,3357,2859.0,144.0,360.0,1.0,2,1,6216.0,4.969813299576001,1,1,1,1,1
60,1,1,0,1,0,2500,3796.0,120.0,360.0,1.0,2,1,6296.0,4.787491742782046,1,1,1,1,1
61,1,1,3+,1,0,3029,0.0,99.0,360.0,1.0,2,1,3029.0,4.59511985013459,1,1,1,1,1
62,1,1,0,0,1,2609,3449.0,165.0,180.0,0.0,0,0,6058.0,5.10594547390058,0,0,0,0,0
63,1,1,1,1,0,4945,0.0,128.0,360.0,0.0,0,0,4945.0,4.852030263919617,0,1,0,0,0
64,0,0,0,1,0,4166,0.0,116.0,360.0,0.0,1,0,4166.0,4.7535901911063645,0,0,0,0,0
65,1,1,0,1,0,5726,4595.0,258.0,360.0,1.0,1,0,10321.0,5.552959584921617,1,1,1,0,0
66,1,0,0,0,0,3200,2254.0,126.0,180.0,0.0,2,0,5454.0,4.836281906951478,0,0,0,0,0
67,1,1,1,1,0,10750,0.0,312.0,360.0,1.0,2,1,10750.0,5.7430031878094825,1,1,1,1,1
68,1,1,3+,0,1,7100,0.0,125.0,60.0,1.0,2,1,7100.0,4.8283137373023015,1,1,1,1,1
69,0,0,0,1,0,4300,0.0,136.0,360.0,0.0,1,0,4300.0,4.912654885736052,0,0,0,0,0
70,1,1,0,1,0,3208,3066.0,172.0,360.0,1.0,2,1,6274.0,5.147494476813453,1,1,1,1,1
71,1,1,2,0,1,1875,1875.0,97.0,360.0,1.0,1,1,3750.0,4.574710978503383,1,1,1,1,1
72,1,0,0,1,0,3500,0.0,81.0,300.0,1.0,1,1,3500.0,4.394449154672439,1,0,1,1,1
73,1,1,3+,0,0,4755,0.0,95.0,360.0,0.0,1,0,4755.0,4.553876891600541,0,0,0,0,0
74,1,1,3+,1,1,5266,1774.0,187.0,360.0,1.0,1,1,7040.0,5.231108616854587,1,1,1,1,1
75,1,0,0,1,0,3750,0.0,113.0,480.0,1.0,2,0,3750.0,4.727387818712341,1,1,1,0,0
76,1,0,0,1,0,3750,4750.0,176.0,360.0,1.0,2,0,8500.0,5.170483995038151,1,1,1,0,0
77,1,1,1,1,1,1000,3022.0,110.0,360.0,1.0,2,0,4022.0,4.700480365792417,1,1,1,0,0
78,1,1,3+,1,0,3167,4000.0,180.0,300.0,0.0,1,0,7167.0,5.19295685089021,0,0,0,0,0
79,1,1,3+,0,1,3333,2166.0,130.0,360.0,1.0,1,1,5499.0,4.867534450455582,1,1,1,1,1
80,0,0,0,1,0,3846,0.0,111.0,360.0,1.0,1,1,3846.0,4.709530201312334,1,1,1,1,1
81,1,1,1,1,1,2395,0.0,128.0,360.0,1.0,1,1,2395.0,4.852030263919617,1,1,1,1,1
82,0,1,2,1,0,1378,1881.0,167.0,360.0,1.0,2,0,3259.0,5.117993812416755,1,0,1,0,0
83,1,1,0,1,0,6000,2250.0,265.0,360.0,1.0,1,0,8250.0,5.579729825986222,1,1,1,0,0
84,1,1,1,1,0,3988,0.0,50.0,240.0,1.0,2,1,3988.0,3.912023005428146,1,1,1,1,1
85,1,0,0,1,0,2366,2531.0,136.0,360.0,1.0,1,1,4897.0,4.912654885736052,1,1,1,1,1
86,1,1,2,0,0,3333,2000.0,99.0,360.0,1.0,1,1,5333.0,4.59511985013459,1,1,1,1,1
87,1,1,0,1,0,2500,2118.0,104.0,360.0,1.0,1,1,4618.0,4.6443908991413725,1,1,1,1,1
88,1,0,0,1,0,8566,0.0,210.0,360.0,1.0,2,1,8566.0,5.3471075307174685,1,1,1,0,1
89,1,1,0,1,0,5695,4167.0,175.0,360.0,1.0,1,1,9862.0,5.1647859739235145,1,1,1,1,1
90,1,1,0,1,0,2958,2900.0,131.0,360.0,1.0,1,1,5858.0,4.875197323201151,1,1,1,1,1
91,1,1,2,1,0,6250,5654.0,188.0,180.0,1.0,1,1,11904.0,5.236441962829949,1,1,1,1,1
92,1,1,2,0,0,3273,1820.0,81.0,360.0,1.0,2,1,5093.0,4.394449154672439,1,1,1,1,1
93,1,0,0,1,0,4133,0.0,122.0,360.0,1.0,1,1,4133.0,4.804021044733257,1,1,1,1,1
94,1,0,0,0,0,3620,0.0,25.0,120.0,1.0,1,1,3620.0,3.218875824868201,1,1,1,1,1
95,1,0,0,1,0,6782,0.0,128.0,360.0,1.0,2,0,6782.0,4.852030263919617,1,1,1,0,0
96,0,1,0,1,0,2484,2302.0,137.0,360.0,1.0,1,1,4786.0,4.919980925828125,1,1,1,1,1
97,1,1,0,1,0,1977,997.0,50.0,360.0,1.0,1,1,2974.0,3.912023005428146,1,1,1,1,1
98,1,1,0,0,0,4188,0.0,115.0,180.0,1.0,1,1,4188.0,4.74493212836325,1,1,1,1,1
99,1,1,0,1,0,1759,3541.0,131.0,360.0,1.0,1,1,5300.0,4.875197323201151,1,1,1,1,1
100,1,1,2,0,0,4288,3263.0,133.0,180.0,1.0,2,1,7551.0,4.890349128221754,1,1,1,1,1
