Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,TotalIncome,LoanAmount_log
1,0,0,1,0,5849,0.0,128.0,360.0,1.0,2,1,5849.0,4.852030263919617
1,1,1,1,0,4583,1508.0,128.0,360.0,1.0,0,0,6091.0,4.852030263919617
1,1,0,1,1,3000,0.0,66.0,360.0,1.0,2,1,3000.0,4.189654742026425
1,1,0,0,0,2583,2358.0,120.0,360.0,1.0,2,1,4941.0,4.787491742782046
1,0,0,1,0,6000,0.0,141.0,360.0,1.0,2,1,6000.0,4.948759890378168
1,1,2,1,1,5417,4196.0,267.0,360.0,1.0,2,1,9613.0,5.58724865840025
1,1,0,0,0,2333,1516.0,95.0,360.0,1.0,2,1,3849.0,4.553876891600541
1,1,3+,1,0,3036,2504.0,158.0,360.0,0.0,1,0,5540.0,5.062595033026967
1,1,2,1,0,4006,1526.0,168.0,360.0,1.0,2,1,5532.0,5.123963979403259
1,1,1,1,0,12841,10968.0,349.0,360.0,1.0,1,0,23809.0,5.855071922202427
1,1,2,1,0,3200,700.0,70.0,360.0,1.0,2,1,3900.0,4.248495242049359
1,1,2,1,0,2500,1840.0,109.0,360.0,1.0,2,1,4340.0,4.6913478822291435
1,1,2,1,0,3073,8106.0,200.0,360.0,1.0,2,1,11179.0,5.298317366548036
1,0,0,1,0,1853,2840.0,114.0,360.0,1.0,0,0,4693.0,4.736198448394496
1,1,2,1,0,1299,1086.0,17.0,120.0,1.0,2,1,2385.0,2.833213344056216
1,0,0,1,0,4950,0.0,125.0,360.0,1.0,2,1,4950.0,4.8283137373023015
1,0,1,0,0,3596,0.0,100.0,240.0,1.0,2,1,3596.0,4.605170185988092
0,0,0,1,0,3510,0.0,76.0,360.0,0.0,2,0,3510.0,4.330733340286331
1,1,0,0,0,4887,0.0,133.0,360.0,1.0,0,0,4887.0,4.890349128221754
1,1,0,1,0,2600,3500.0,115.0,360.0,1.0,2,1,6100.0,4.74493212836325
1,1,0,0,0,7660,0.0,104.0,360.0,0.0,2,0,7660.0,4.6443908991413725
1,1,1,1,0,5955,5625.0,315.0,360.0,1.0,2,1,11580.0,5.752572638825633
1,1,0,0,0,2600,1911.0,116.0,360.0,0.0,1,0,4511.0,4.7535901911063645
1,1,2,0,0,3365,1917.0,112.0,360.0,0.0,0,0,5282.0,4.718498871295094
1,1,1,1,0,3717,2925.0,151.0,360.0,1.0,1,0,6642.0,5.017279836814924
1,1,0,1,1,9560,0.0,191.0,360.0,1.0,1,1,9560.0,5.25227342804663
1,1,0,1,0,2799,2253.0,122.0,360.0,1.0,1,1,5052.0,4.804021044733257
1,1,2,0,0,4226,1040.0,110.0,360.0,1.0,2,1,5266.0,4.700480365792417
1,0,0,0,0,1442,0.0,35.0,360.0,1.0,2,0,1442.0,3.5553480614894135
0,0,2,1,0,3750,2083.0,120.0,360.0,1.0,1,1,5833.0,4.787491742782046
1,1,1,1,0,4166,3369.0,201.0,360.0,1.0,2,0,7535.0,5.303304908059076
1,0,0,1,0,3167,0.0,74.0,360.0,1.0,2,0,3167.0,4.30406509320417
1,0,1,1,1,4692,0.0,106.0,360.0,1.0,0,0,4692.0,4.663439094112067
